,rank,jogador,equipe,jo,min,ef,pts,rt,as,br,to,er
79,80,Johnny #23,Cerrado Basquete,15,13.27,2.73,3.6,1.6,0.47,0.33,0.0,0.87
68,69,Luis #9,Cerrado Basquete,16,19.94,3.94,7.56,1.38,1.25,0.44,0.0,2.06
32,33,G. Servelin #3,Londrina,18,26.98,9.39,8.0,3.61,1.5,1.5,0.33,1.28
20,21,Ricardo #33,Londrina,18,29.38,11.83,10.83,4.72,1.28,0.67,0.11,0.44
27,28,Luizinho #11,UNIFACISA,25,22.23,10.4,7.44,4.24,1.68,0.96,0.28,1.08
